Dragon,Rarity,BreedAvailability,BreedElementOne,BreedElementTwo,BreedElementTwo,BreedElementThree,BreedElementFive,BreedDragonOne,BreedDragonTraitOne,BreedDragonTwo,BreedDragonTraitTwo,RequiredRiftAlignment,RequiredRiftTrait,OppositeElements,RequiredElementCount,RequiredTimeOfDay,RequiredWeather,RequiredCave,BreedTime,BreedElements,OwnZeroBreedPercentage,OwnOneBreedPercentage,OwnTwoBreedPercentage,NormalSingleClonePercentage,NormalDoubleClonePercentage,SocialSingleClonePercentage,SocialDoubleClonePercentage,RiftSingleClonePercentage,RiftDoubleClonePercentage,VisibleElements,EvolvesFrom,Riftable,Elderable,EarnGold,EarnEtherium,EarnGem,MagicCost,EventSection,ReqiuredTrait,Quest,AirCollection,AnniversaryCollection,ApocalypseCollection,AuraCollection,AutumnCollection,CampingCollection,CelebrationCollection,ChrysalisCollection,ColdCollection,CrystallineCollection,DarkCollection,DreamCollection,EarthCollection,EnhancedCollection,FireCollection,GalacticCollection,GemstoneAllCollection,GemstoneAutumnCollection,GemstoneSpringCollection,GemstoneSummerCollection,GemstoneWinterCollection,GhostlyCollection,HiddenCollection,LegendaryCollection,LightCollection,LightningCollection,LoveCollection,MelodyCollection,MetalCollection,MonolithCollection,MoonCollection,MythicCollection,OlympusCollection,OmofNomsCollection,OrnamentalCollection,OvalithCollection,ParadiseCollection,PlantCollection,RainbowCollection,RiftCollection,SeasonalCollection,SnowflakeCollection,SpookyCollection,SummerCollection,SunCollection,SurfaceCollection,TreasureCollection,VernalCollection,VintageCollection,WaterCollection,WinterCollection,ZodiacCollection
Abraxas,Rare,permanent,lightning,dark,rift,,,,,,,lightning,,,,,,rift,82800,LDR,0.04,,,0,0,0,0,0.01,0.2,LDR,,true,false,475,360000,,,,L,Power Overwhelming,,,,,,,Celebration,,,,Dark,,,,,,,,,,,,,,,Lightning,,,,,,,,,,,,,,Rift,,,,,,,,,,,,
Abyss,Hybrid,permanent,water,dark,,,,,,,,,,,,,,,27000,WD,,,,0.01,,0.1,0.2,0.01,,WD,,true,false,1275,360000,,,,,Lantern Deeps,,,,,,,,,,,Dark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water,,
Acid,Hybrid,permanent,dark,metal,,,,,,,,,,,,,,,55800,MD,,,,0.01,,0.1,0.2,0.01,,MD,,true,false,960,360000,,,,,Corrosive Crater,,,,,,,,,,,Dark,,,,,,,,,,,,,,,,,,Metal,,,,,,,,,,,,,,,,,,,,,,,
Ahoy,Rare,unavailable,air,water,earth,fire,,,,,,,,,,,,,61200,FEWA,0.045,,,0.01,0.3,0.1,0.2,0.01,0.3,FEWA,,true,false,300,360000,,,,,Getaway Stick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paradise,,,,,,,,,,,,,,,
Air,Primary,permanent,,,,,,Fire,,Water,,,,AE,,,,,7200,A,1,0.33,,0,,0,,0,,A,,false,true,950,,,,,,,Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Rift,Primary Rift,permanent,,,,,,,,,,,,,,,,rift,172800,AR,,,,0,0,0,0,0.01,0.15,AR,,true,false,400,360000,,,,A,Questionable Heights,Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rift,,,,,,,,,,,,
Aisa,Rare,unavailable,,,,,,Verglace,,Zumi,,,,,,,,,86400,ECAD,0.032,,,0.01,0.3,0.1,0.2,0.01,0.3,ECAD,,true,false,180,360000,,,,,Triple Axel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Winter,
Alayzem,Epic,unavailable,,,,,,Kann,,Crawler,,,,,,,,,72000,PCWLDSu,0.033,,,0.05,0.3,0.015,0.15,0.05,0.3,Su,,true,false,190,240000,,,,,Sandy Peaks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sun,,,,,,,
Alffa,Epic,unavailable,dream,air,,,,,,,,,,,,,,,115200,PFECWLAMIDDr,0.02,,,0.01,0.3,0.01,0.05,0.01,0.3,ADr,,true,false,180,240000,,,,,Alpha in Disguise,,,,,,,,,,,,Dream,,,,,,,,,,,,,,,,,,,,,,,,,Paradise,,,,,,,,,,,,,,,
Alpenglow,Rare,permanent,earth,light,rift,,,,,,,,lightning,,,,,rift,0,EIR,0.025,,,0,0,0,0,0.01,0.15,EIR,,true,false,375,360000,,,,L,Lighting the Rift,,,,,,,,,,,,,Earth,,,,,,,,,,,,Light,,,,,,,,,,,,,,,Rift,,,,,,,,,,,,
