Dragon,Rarity,BreedAvailability,BreedElementOne,BreedElementTwo,BreedElementTwo,BreedElementThree,BreedElementFive,BreedDragonOne,BreedDragonTraitOne,BreedDragonTwo,BreedDragonTraitTwo,RequiredRiftAlignment,RequiredRiftTrait,RequiredElementCount,RequiredTimeOfDay,RequiredWeather,RequiredCave,BreedTime,BreedElements,BaseBreedChance,OwnOneBreedChance,OwnTwoBreedChance,NormalSingleClone,NormalDoubleClone,SocialSingleClone,SocialDoubleClone,RiftSingleClone,RiftDoubleClone,VisibleElements,EvolvesFrom,Riftable,Elderable,EarnGold,EarnEtherium,EarnGem,MagicCost,EventSection,ReqiuredTrait,Quest
Abraxas,Rare,permanent,lightning,dark,rift,,,,,,,lightning,,,,,rift,82800,LDR,0.04,,,0,0,0,0,0.01,0.2,LDR,,TRUE,FALSE,475,360000,,,,L,Power Overwhelming
Abyss,Hybrid,permanent,water,dark,,,,,,,,,,,,,,27000,WD,,,,0.01,,0.1,0.2,0.01,,WD,,TRUE,FALSE,1275,360000,,,,,Lantern Deeps
Acid,Hybrid,permanent,dark,metal,,,,,,,,,,,,,,55800,MD,,,,0.01,,0.1,0.2,0.01,,MD,,TRUE,FALSE,960,360000,,,,,Corrosive Crater
Ahoy,Rare,unavailable,air,water,earth,fire,,,,,,,,,,,,61200,FEWA,0.045,,,0.01,0.3,0.1,0.2,0.01,0.3,FEWA,,TRUE,FALSE,300,360000,,,,,Getaway Stick
Air,Primary,permanent,,,,,,Fire,,Water,,,,,,,,7200,A,1,0.33,,0,,0,,0,,A,,FALSE,TRUE,950,,,,,,
Air Rift,Primary Rift,permanent,,,,,,,,,,,,,,,rift,172800,AR,,,,0,0,0,0,0.01,0.15,AR,,TRUE,FALSE,400,360000,,,,A,Questionable Heights
Aisa,Rare,unavailable,,,,,,Verglace,,Zumi,,,,,,,,86400,ECAD,0.032,,,0.01,0.3,0.1,0.2,0.01,0.3,ECAD,,TRUE,FALSE,180,360000,,,,,Triple Axel
Alayzem,Epic,unavailable,,,,,,Kann,,Crawler,,,,,,,,72000,PCWLDSu,0.033,,,0.05,0.3,0.015,0.15,0.05,0.3,Su,,TRUE,FALSE,190,240000,,,,,Sandy Peaks
Alffa,Epic,unavailable,dream,air,,,,,,,,,,,,,,115200,PFECWLAMIDDr,0.02,,,0.01,0.3,0.01,0.05,0.01,0.3,ADr,,TRUE,FALSE,180,240000,,,,,Alpha in Disguise
Alpenglow,Rare,permanent,earth,light,rift,,,,,,,,lightning,,,,rift,0,EIR,0.025,,,0,0,0,0,0.01,0.15,EIR,,TRUE,FALSE,375,360000,,,,L,Lighting the Rift
Alure,Epic,unavailable,,,,,,Djinni,,Silver,,,,,,,,100800,CWLAMTr,0.04,,,0.05,0.3,0.015,0.15,0.05,0.3,WTr,,TRUE,FALSE,110,240000,,,,,Song Of The Siren
Amalgamate,Rare,unavailable,earth,fire,dark,,,Bone,,,,,,,,,,72000,FED,0.031,,,0.01,0.3,0.1,0.2,0.01,0.3,FED,,TRUE,FALSE,155,360000,,12960,2,,Twin Rivalry
Amaryllis,Epic,unavailable,plant,air,light,,,,,,,,,,,,,68400,PAIAu,0.03,,,0.05,0.3,0.01,0.05,0.05,0.3,Au,,TRUE,FALSE,134,240000,,,,,Archetypal Acceptance
Amber,Gemstone,unavailable,,,,,,Quake,,Evergreen,,,,,,,,109575,PECLGe,0.03,,,0.05,0.07,0.03,0.06,0.05,0.07,Ge,,TRUE,FALSE,,240000,241920000,,,,Fossil Folly
