Air,Primary,A,Fire+Water,2:00:00,100% (33%),0% (?%),0% (?%),0% (?%),
Blazing,Hybrid,FA,fire+air,8:00:00,*%,10% (20%),1% (?%),1% (?%),Fiery Forage
Snow,Hybrid,CA,cold+air,8:00:00,*%,10% (20%),1% (?%),1% (?%),Furious Flurry
Sonic,Hybrid,LA,lightning+air,8:00:00,*%,10% (20%),1% (?%),1% (?%),Green Hill Havoc
Willow,Hybrid,PA,plant+air,8:00:00,*%,10% (20%),1% (?%),1% (?%),Weeping Waterfall
Fog,Hybrid,WA,water+air,8:00:00,*%,10% (20%),1% (?%),1% (?%),Miasma Menace
Sandstorm,Rare,EA,air+earth,2:00:00,5%,4% (15%),1% (?%),1% (?%),Tectonica Toil
Chrome,Hybrid,AM,air+metal,5:00:00,*%,10% (20%),1% (?%),1% (?%),Ride Eternal
Dodo,Rare,EA,earth+air,16:00:00,5%,4% (15%),1% (?%),1% (?%),Fight or Fight
Pollen,Hybrid,PA,plant+air,7:00:00,*%,10% (20%),1% (?%),1% (?%),Fields of Achoo
Rain,Hybrid,WA,water+air,8:00:00,*%,10% (20%),1% (?%),1% (?%),Torrential Tribulation
Smoke,Hybrid,FA,fire+air,14:00:00,*%,10% (20%),1% (?%),1% (?%),The Other Side
Thunder,Hybrid,LA,lightning+air,8:30:00,*%,10% (20%),1% (?%),1% (?%),Plunder Strike
Hypnotic,Hybrid,AI,light+air,21:30:00,*%,10% (20%),1% (?%),1% (?%),Mesmeric Mausoleum
Wind,Hybrid,AI,air+light,5:00:00,*%,10% (20%),1% (?%),1% (?%),Zesty Zephyr
Howl,Hybrid,AD,dark+air,12:30:00,*%,10% (20%),1% (?%),1% (?%),Allengin Pass
Miasma,Hybrid,AD,air+dark,10:30:00,*%,10% (20%),1% (?%),1% (?%),Smog Bog
Orchid,Rare,PA,plant+air,9:00:00,5%,3% (15%),1% (?%),1% (?%),Koo Hill Trek
Halo,Rare,AI,air+light,12:00:00,3%,2% (15%),1% (?%),1% (?%),Paradise Palisade
Inferno,Rare,FA,air+fire,8:00:00,5%,4% (10%),1% (?%),1% (?%),Dante's Dungeon
Vortex,Rare,WA,water+air,14:00:00,5%,4% (10%),1% (?%),1% (?%),Spiraling Storm
Bubble,Rare,WA,air+water,10:00:00,5%,4% (10%),1% (?%),1% (?%),Sudsy Shores
Smolder,Rare,FA,fire+air,11:00:00,5%,?% (15%),?% (30%),?% (30%),Smoke on the Boulder
Verdigris,Rare,AM,air+metal,7:30:00,5%,?% (15%),?% (30%),?% (30%),Anti-Gravity Antics
Iridescent,Rare,AI,light+air,13:00:00,5%,4% (15%),1% (?%),1% (?%),Chroma Chasm
Cyclone,Rare,LA,lightning+air,18:00:00,5%,4% (15%),1% (30%),1% (30%),Witchitoto Plains
Jetstream,Rare,CA,cold+air,10:00:00,5%,4% (15%),1% (30%),1% (30%),Conspiracy Bluff
Blightwing,Rare,FAR,fire+air+rift+[dark trait],0:00:00,2.5%,0% (0%),0% (0%),1% (15%),Timeless Tail
Air Rift,Primary Rift,AR,,48:00:00,$%,0% (0%),0% (0%),1% (15%),Questionable Heights
Kampos,Rare,WAR,rift+[water trait],0:00:00,3% (1%),0% (0%),0% (0%),1% (15%),Ye Olde Rescue
Plumewing,Rare,FAR,rift+[air trait],0:00:00,3% (1%),0% (0%),0% (0%),1% (15%),Shiny Start
Viridian,Rare,PAR,Dodo+Malachite+rift+[dodo fire trait]+[malachite light trait],0:00:00,1%,0% (0%),0% (0%),1% (15%),Ardent Valley
Dandelion,Rare,PA,air+plant,7:30:00,5%,4% (15%),1% (?%),1% (?%),Breeze Floating
Chimneypuff,Rare,AD,dark+air,23:00:00,5%,4% (10%),1% (25%),1% (20%),Swift Sweeper
Derecho,Rare,CA,air+cold,16:00:00,2.5%,4% (15%),1% (30%),1% (30%),Adrenaline Rush
Daylily,Rare,PFA,air+fire+plant,16:00:00,5%,3.5% (10%),1% (30%),1% (30%),Daily Lily
Whirlwind,Rare,EA,earth+air,20:00:00,5%,10% (20%),1% (30%),1% (30%),Windy and Whirly
Khamsin,Rare,EA,air+earth,12:00:00,5%,10% (20%),1% (30%),1% (30%),Dust Storm
Paper,Rare,PFEC,fire+earth+plant+cold,12:00:00,3%,2% (5%),1% (?%),1% (?%),Backflip Trip
Cotton,Rare,PFEL,plant+earth+fire+lightning,24:00:00,3%,2% (10%),1% (?%),1% (?%),Textile Test
Leathery,Rare,FECL,lightning+fire+earth+cold,36:00:00,3%,2% (5%),1% (?%),1% (?%),Hide & Seek
Garland,Rare,PFEL,fire+plant+earth+lightning,24:00:00,3%,2% (15%),1% (?%),1% (?%),Laurel Lament
Wyrmwood,Rare,PFEC,earth+fire+plant+cold,18:00:00,3%,2% (10%),1% (?%),1% (?%),The 5th Precipice
Ironwrought,Rare,EWAM,metal+earth+water+air,12:00:00,3%,2% (10%),1% (?%),1% (?%),Pumpermelon Pull
Embossed,Rare,ECLM,metal+earth+cold+lightning,36:00:00,0.5%,2% (10%),30% (?%),30% (?%),Alloy Analysis
Terracotta,Rare,FEWM,earth+water+metal+fire,24:00:00,0.5%,2% (10%),1% (30%),0.1% (30%),A Molded Marker
Woven,Rare,PEAI,air+plant+earth+light,24:00:00,1.5%,2% (10%),1% (30%),1% (30%),Weaving Through
Tien,Rare,EAMI,metal+light+earth+air,10:00:00,2.5%,2% (10%),1% (30%),1% (30%),Ten Tins
Vaul,Rare,EMDR,earth+metal+rift+[dark trait],0:00:00,1%,0% (0%),0% (0%),1% (15%),Claws of Steel
Apocalypse,Epic,Ap,plant+cold+metal+lightning,20:12:00,3%,1% (5%),?% (?%),?% (?%),Prophetic Pursuit
Ouroboros,Epic,Ap,Magnetic+water,26:24:00,3%,2% (5%),?% (?%),?% (?%),Infinite Loop
Zombie,Epic,Ap,Meteor+Pollen,20:00:00,3%,1% (5%),10% (?%),?% (?%),Plaaaaaaaaains
Ragnarok,Epic,Ap,fire+earth+cold+dark,39:27:00,2%,1% (5%),?% (?%),?% (?%),Serpentine Point
Omen,Epic,ApMo,Moon+Apocalypse,27:00:00,3%,2% (5%),?% (?%),?% (?%),Trial DCLVI
Snowpocalypse,Epic,Ap,Winter+Apocalypse,20:00:00,3%,1% (5%),5% (30%),5% (30%),Clouds of Garita
Misfortune,Epic,ApTr,treasure+apocalypse+[night],46:00:00,1.5% (0.5%),1% (5%),5% (?%),5% (?%),Misadventure Time
Fury,Epic,Ap,Misfortune+Snowpocalypse,46:00:00,3%,1% (5%),5% (30%),5% (30%),Inception Misconception
Charlatan,Epic,Ap,Apocalypse+Spirit,16:00:00,0.5% (1%),1.5% (10%),0.75% (30%),0.75% (30%),Composed Conquest
Scourge,Epic,Ap,Decay+Misfortune,11:30:00,0.5% (1%),1.5% (10%),0.75% (30%),0.75% (30%),Feast or Famine
Barbarous,Epic,Ap,Oni+Ragnarok,13:45:00,0.5% (1%),1.5% (10%),0.75% (30%),0.75% (30%),Ruins of War
Macabre,Epic,Ap,Spectre+Zombie,16:39:36,0.5% (1%),1.5% (10%),0.75% (30%),0.75% (30%),Death Defying
Wendigo,Epic,FECAp,Macabre+Bone,22:00:00,2%,1.5% (5%),0.75% (30%),0.75% (30%),Zombie Juice Diet
Narcis,Epic,MDAp,Ouroboros+dark+metal,28:00:00,4.5%,10% (20%),1% (30%),1% (30%),Daffadowndilly's Cousin
Zero,Epic,ApOr,Permafrost+Snowpocalypse,28:00:00,3.9%,1% (15%),5% (30%),5% (30%),Below Zero
Hyperion,Epic,Ap,Fury+Narcis,70:00:00,2%,1.5% (10%),1% (30%),1% (30%),Powerful Presence
Kage,Epic,Ap,Eldritch+Wrath,23:00:00,4%,1% (15%),5% (30%),5% (30%),Shadowy Visitor
Hydnellum,Epic,Ap,Wendigo+apocalypse,24:00:00,4%,1% (15%),5% (30%),5% (30%),A Fungus
Delight,Epic,Au,plant+fire+cold,36:00:00,3%,1% (5%),?% (?%),?% (?%),Manic Antics
Ire,Epic,Au,plant+earth+fire,12:00:00,6%,1% (5%),?% (?%),?% (?%),Isle of Indignation
Melancholy,Epic,Au,plant+earth+cold,24:00:00,5%,1% (5%),?% (?%),?% (?%),Swamps of Sadness
Serenity,Epic,Au,earth+fire+cold,18:00:00,4%,1% (5%),?% (?%),?% (?%),Cape Calm
Surprise,Epic,Au,[4 elements],24:00:00,9% (1%),1% (5%),?% (?%),?% (?%),Shock and Aww
Stoneheart,Epic,Au,Love+Melancholy,24:00:00,3%,5% (15%),5% (?%),5% (?%),Mort's Moratorium
Honeyglow,Epic,Au,Nectar+Ambrosia,31:00:00,3% (2%),1% (5%),1% (30%),1% (30%),Thousand Acre Woods
Scorn,Epic,Au,plant+earth+fire,44:00:00,5%,1% (10%),5% (?%),5% (?%),Green-eyed Guide
Smitten,Epic,Au,plant+fire+cold,29:00:00,3%,1% (10%),5% (?%),5% (?%),Overly Attached
Sweetheart,Epic,Au,Stoneheart+Love,29:00:00,2%,1.5% (10%),1% (?%),5% (?%),Bemine Spelunking
Spritely,Epic,AuOl,aura+olympus,35:00:00,7% (4%),1% (10%),1% (?%),5% (?%),Painted Hills
Daffadowndilly,Epic,Au,fire+earth+water,15:00:00,3%,1% (5%),5% (30%),5% (30%),Trial of Denial
Petunia,Epic,Au,fire+earth+cold+lightning,16:00:00,3%,1% (5%),5% (30%),5% (30%),Anger Wrangler
Begonia,Epic,Au,water+fire+metal,17:00:00,2%,1% (5%),5% (30%),5% (30%),Brash Bargaining
Cyclamen,Epic,Au,earth+fire+dark,18:00:00,3%,1% (5%),5% (30%),5% (30%),Depression Secession
Amaryllis,Epic,Au,plant+air+light,19:00:00,3%,1% (5%),5% (30%),5% (30%),Archetypal Acceptance
Grace,Epic,Au,Cuddlewing+water+light,22:00:00,2.5%,4% (15%),1% (30%),1% (30%),Two Beautiful Heads
Entwined,Epic,Au,Love+Sweetheart,26:00:00,2.5%,4% (15%),1% (30%),1% (30%),Partner In Crime
Canvas,Epic,Au,Sumi+Iron Blossom,30:00:00,2%,4% (15%),1% (30%),1% (30%),A True Masterpiece
Masque,Epic,Au,Moonstruck+Spritely,32:00:00,1.5%,4% (15%),1% (30%),1% (30%),Who Is Behind The Masque
Cupido,Epic,Au,Stoneheart+Sweetheart,26:00:00,4.1%,1% (15%),5% (30%),5% (30%),Lovestruck
Mesmer,Epic,Au,Masque+Scorn,30:00:00,3%,1% (15%),5% (30%),5% (30%),Snap Back to Reality
Brutiful,Epic,Au,Thorn+Masque,16:00:00,2.45%,1% (15%),5% (30%),5% (30%),Duality
Mesmerus,Epic,Au,,30:00:00,0%,0% (20%),0% (30%),0% (30%),Under Your Spell
Lovonone,Epic,Au,Cupido+Scorn,27:00:00,2.9%,1% (15%),5% (30%),5% (30%),True Unity
Glassia,Epic,PAIAu,Murano+Rose,34:00:00,2.85%,1.5% (15%),5% (30%),5% (30%),Heart of Roses
Autumn,Epic,Se,fire+cold+air,24:00:00,4%,3% (5%),?% (?%),?% (?%),The Fall
Berry,Epic,Se,fire+water+light,16:00:00,3%,2% (5%),?% (?%),?% (?%),Fearsome Fruits
Gourd,Rare,PFED,Pepper+Root,30:51:56,4%,3% (10%),1% (?%),1% (?%),Pumpkin Patch
Feast,Rare,PEI,plant+earth+light,24:00:00,5%,2% (10%),1% (?%),1% (?%),The Fattening
Harvest,Rare,PEW,plant+earth+water,18:00:00,5%,2% (10%),1% (?%),1% (?%),Fruitful Feat
Harvest Moon,Epic,PEWMo,Harvest+Moon,18:00:00,5%,1% (5%),5% (?%),5% (?%),Marigold Moon
Bogberry,Epic,PWISe,Bog+Berry,16:00:00,3%,2% (10%),1% (?%),1% (?%),Six-Fingered Lake
Bounteous,Rare,PFE,earth+plant+fire,14:00:00,5%,2% (10%),1% (?%),1% (?%),Bounding Around
Teozinte,Rare,PEC,earth+plant+cold,22:00:00,5%,2% (10%),1% (?%),1% (?%),Corn Maze
Plumpkin,Rare,PFE,plant+fire+earth,19:00:00,5%,2% (10%),1% (?%),1% (?%),Pumpermelon Imposter
Osteryx,Rare,FEA,air+fire+earth,14:00:00,2%,4% (15%),1% (30%),1% (30%),The Boneyard
Bonescale,Rare,CM,metal+cold,22:00:00,2%,4% (15%),1% (30%),1% (30%),Calcified Crusade
Whimsical,Rare,PCI,light+plant+cold,18:00:00,3%,5% (10%),5% (30%),5% (30%),Whimsical Miracle
Apex,Epic,EIHi,hidden+earth+light,22:00:00,2%,1% (10%),5% (30%),5% (30%),At the Pinnacle
Atramento,Epic,LDHi,hidden+dark+lightning,23:00:00,2%,1% (10%),5% (30%),5% (30%),Ink-redible Experience
Coldcoil,Epic,CWHi,hidden+cold+water,19:00:00,3.5%,1% (10%),5% (30%),5% (30%),Chilly Shellebration
Frons,Epic,PMHi,hidden+plant+metal,21:00:00,2%,1% (10%),5% (30%),5% (30%),Falling for You
Ignis,Epic,FAHi,hidden+fire+air,20:00:00,3%,1% (10%),5% (30%),5% (30%),Ignite the Sky
Scout,Epic,Hi,Valor+hidden,24:00:00,2%,1% (10%),5% (30%),5% (30%),Camping Trip
Zipzap,Rare,LD,Hidden Bolt+Spark,18:00:00,4%,10% (20%),1% (30%),1% (30%),Zippity-zip-zap
Chimmit,Rare,WLID,water+dark+lightning+light,15:00:00,3%,10% (20%),1% (30%),1% (30%),Experienced Piscator
Chuck,Rare,FEMD,Combustion+Apex,16:00:00,3.5%,1.5% (15%),5% (30%),5% (30%),Wood Cutter
Chomp,Rare,PFED,Stygian+plant+earth,24:00:00,3%,1.5% (15%),5% (30%),5% (30%),Systematic Muncher
Wilderness,Epic,Mo,Nightbloom+Seraph,26:00:00,4.5%,1.5% (15%),5% (30%),5% (30%),Expert of the Wild
Panlong,Rare,FEWA,water+air+earth+fire,36:00:00,3%,1% (5%),0.5% (?%),0.5% (?%),Year of the Dragon
Leap Year,Epic,Rb,[4 elements],14:30:00,4% (2%),1% (5%),?% (?%),?% (?%),Intercalary Anarchy
Firework,Rare,FA,fire+air,6:00:00,4%,2.5% (10%),1% (?%),1% (?%),Explosions in the Sky
Paper,Rare,PFEC,fire+earth+plant+cold,12:00:00,3%,2% (5%),1% (?%),1% (?%),Backflip Trip
Century,Rare,ECW,earth+water+cold,10:00:00,3%,1% (5%),0.5% (30%),0.5% (30%),Five Score Frenzy
Bouquet,Rare,PFW,Flower+water,9:00:00,5%,3% (10%),1% (?%),1% (?%),Floral Flight
Bearded,Rare,ECM,Mountain+metal,15:00:00,5%,3% (10%),1% (?%),1% (?%),Close Shave
Liberty,Rare,LAM,Copper+air,29:49:00,5%,3% (10%),1% (?%),1% (?%),Beacons of Freedom
Cotton,Rare,PFEL,plant+earth+fire+lightning,24:00:00,3%,2% (10%),1% (?%),1% (?%),Textile Test
Victory,Epic,Ol,air+cold+lightning,36:00:00,3%,1% (5%),?% (?%),?% (?%),Triumph Turlough
Carnival,Rare,PFE,Pepper+earth,12:00:00,5%,2% (10%),1% (?%),1% (?%),Jubilee Spree
Leathery,Rare,FECL,lightning+fire+earth+cold,36:00:00,3%,2% (5%),1% (?%),1% (?%),Hide & Seek
Bicentennial,Rare,FLA,lightning+fire+air,20:00:00,2%,1% (5%),0.5% (?%),0.5% (?%),Ten Score Trench
Darkling,Rare,LD,dark+lightning,14:00:00,3%,2% (10%),1% (?%),1% (?%),The Bolts of Faridat
Garland,Rare,PFEL,fire+plant+earth+lightning,24:00:00,3%,2% (15%),1% (?%),1% (?%),Laurel Lament
